id,policyNo,policyType,policyStartDate,policyEndDate,tableName,membershipTypeId,membershipTypeName
24665,null,Extended Warranty,2022-04-03,2025-04-02,memerbership,null,null
27041,RSA33614,RSA Retail,2022-02-12,2025-02-11,memerbership,null,null
28513,null,Extended Warranty,2023-10-27,2024-10-25,memerbership,null,null
28527,null,Extended Warranty,2023-04-10,2024-04-08,memerbership,null,null
28569,null,Extended Warranty,2023-05-31,2024-05-29,memerbership,null,null
28571,null,Extended Warranty,2023-04-12,2024-04-10,memerbership,null,null
28585,null,Extended Warranty,2023-06-16,2024-06-14,memerbership,null,null
28593,null,Extended Warranty,2023-06-09,2024-06-07,memerbership,null,null
28595,null,Extended Warranty,2023-04-11,2024-04-09,memerbership,null,null
28597,null,Extended Warranty,2023-05-31,2024-05-29,memerbership,null,null
28601,null,Extended Warranty,2023-05-03,2024-05-01,memerbership,null,null
28605,null,Extended Warranty,2023-06-12,2024-06-10,memerbership,null,null
28607,null,Extended Warranty,2023-06-04,2024-06-02,memerbership,null,null
28611,null,Extended Warranty,2023-04-27,2024-04-25,memerbership,null,null
28613,null,Extended Warranty,2023-05-05,2024-05-03,memerbership,null,null
28617,null,Extended Warranty,2023-04-30,2024-04-28,memerbership,null,null
28619,null,Extended Warranty,2023-04-23,2024-04-21,memerbership,null,null
28621,null,Extended Warranty,2023-04-16,2024-04-14,memerbership,null,null
28623,null,Extended Warranty,2023-08-24,2024-08-22,memerbership,null,null
28625,null,Extended Warranty,2023-08-29,2024-08-27,memerbership,null,null
28627,null,Extended Warranty,2023-06-13,2024-06-11,memerbership,null,null
28629,null,Extended Warranty,2023-06-02,2024-05-31,memerbership,null,null
28631,null,Extended Warranty,2023-05-08,2024-05-06,memerbership,null,null
28633,null,Extended Warranty,2023-05-11,2024-05-09,memerbership,null,null
28635,null,Extended Warranty,2023-06-04,2024-06-02,memerbership,null,null
28637,null,Extended Warranty,2023-06-30,2024-06-28,memerbership,null,null
28639,null,Extended Warranty,2023-04-30,2024-04-28,memerbership,null,null
28641,null,Extended Warranty,2023-06-04,2024-06-02,memerbership,null,null
28643,null,Extended Warranty,2023-09-20,2024-09-18,memerbership,null,null
28645,null,Extended Warranty,2023-05-05,2024-05-03,memerbership,null,null
28647,null,Extended Warranty,2023-06-09,2024-06-07,memerbership,null,null
28649,null,Extended Warranty,2023-08-11,2024-08-09,memerbership,null,null
28651,null,Extended Warranty,2023-08-09,2024-08-07,memerbership,null,null
28653,null,Extended Warranty,2023-06-08,2024-06-06,memerbership,null,null
28655,null,Extended Warranty,2023-08-08,2024-08-06,memerbership,null,null
28657,null,Extended Warranty,2023-08-03,2024-08-01,memerbership,null,null
28659,null,Extended Warranty,2023-06-29,2024-06-27,memerbership,null,null
28661,null,Extended Warranty,2023-07-04,2024-07-02,memerbership,null,null
28663,null,Extended Warranty,2023-07-02,2024-06-30,memerbership,null,null
28665,null,Extended Warranty,2023-06-09,2024-06-07,memerbership,null,null
28667,null,Extended Warranty,2023-08-27,2024-08-25,memerbership,null,null
28669,null,Extended Warranty,2023-09-01,2024-08-30,memerbership,null,null
28671,null,Extended Warranty,2023-05-28,2024-05-26,memerbership,null,null
28673,null,Extended Warranty,2023-05-26,2024-05-24,memerbership,null,null
28675,null,Extended Warranty,2023-04-29,2024-04-27,memerbership,null,null
28677,null,Extended Warranty,2023-09-15,2024-09-13,memerbership,null,null
28679,null,Extended Warranty,2023-04-30,2024-04-28,memerbership,null,null
28681,null,Extended Warranty,2023-06-01,2024-05-30,memerbership,null,null
28683,null,Extended Warranty,2023-07-20,2024-07-18,memerbership,null,null
28685,null,Extended Warranty,2023-09-02,2024-08-31,memerbership,null,null
28688,null,Extended Warranty,2023-05-31,2024-05-29,memerbership,null,null
28690,null,Extended Warranty,2023-09-08,2024-09-06,memerbership,null,null
28692,null,Extended Warranty,2023-06-19,2024-06-17,memerbership,null,null
28694,null,Extended Warranty,2023-06-27,2024-06-25,memerbership,null,null
28696,null,Extended Warranty,2023-09-06,2024-09-04,memerbership,null,null
28698,null,Extended Warranty,2023-09-08,2024-09-06,memerbership,null,null
28700,null,Extended Warranty,2023-07-26,2024-07-24,memerbership,null,null
28702,null,Extended Warranty,2023-05-26,2024-05-24,memerbership,null,null
28704,null,Extended Warranty,2023-08-18,2024-08-16,memerbership,null,null
28706,null,Extended Warranty,2023-08-18,2024-08-16,memerbership,null,null
28708,null,Extended Warranty,2023-07-23,2024-07-21,memerbership,null,null
28710,null,Extended Warranty,2023-09-15,2024-09-13,memerbership,null,null
28712,null,Extended Warranty,2023-09-08,2024-09-06,memerbership,null,null
28714,null,Extended Warranty,2023-08-18,2024-08-16,memerbership,null,null
28716,null,Extended Warranty,2023-11-05,2024-11-03,memerbership,null,null
28718,null,Extended Warranty,2023-06-18,2024-06-16,memerbership,null,null
28720,null,Extended Warranty,2024-01-07,2025-01-05,memerbership,null,null
28722,null,Extended Warranty,2023-08-02,2024-07-31,memerbership,null,null
28724,null,Extended Warranty,2023-11-24,2024-11-22,memerbership,null,null
28726,null,Extended Warranty,2023-09-22,2024-09-20,memerbership,null,null
28728,null,Extended Warranty,2023-11-01,2024-10-30,memerbership,null,null
28730,null,Extended Warranty,2023-10-05,2024-10-03,memerbership,null,null
28732,null,Extended Warranty,2023-10-19,2024-10-17,memerbership,null,null
28734,null,Extended Warranty,2023-09-04,2024-09-02,memerbership,null,null
28736,null,Extended Warranty,2023-09-08,2024-09-06,memerbership,null,null
28738,null,Extended Warranty,2023-10-05,2024-10-03,memerbership,null,null
28740,null,Extended Warranty,2023-10-30,2024-10-28,memerbership,null,null
28742,null,Extended Warranty,2023-10-30,2024-10-28,memerbership,null,null
28744,null,Extended Warranty,2023-10-02,2024-09-30,memerbership,null,null
28746,null,Extended Warranty,2023-10-15,2024-10-13,memerbership,null,null
28748,null,Extended Warranty,2023-07-30,2024-07-28,memerbership,null,null
28750,null,Extended Warranty,2023-09-08,2024-09-06,memerbership,null,null
28752,null,Extended Warranty,2023-09-13,2024-09-11,memerbership,null,null
